run,epochs_done,best_epoch,best_map50,best_map5095,last_epoch,last_map50,last_map5095
gate_smoke_e1_alpha01,1,1,0.9125,0.73,1,0.9125,0.73
gate_smoke_e1,1,1,0.83,0.6365,1,0.83,0.6365
eca_a0_from_nodrop_e80,80,66,0.77917,0.49823,80,0.75296,0.47327
p2_head_from_nodrop_e90,90,86,0.76036,0.49467,90,0.76343,0.48939
nodrop_to_ft2_autoopt_warmup5_e70,70,58,0.77325,0.49094,70,0.77043,0.48616
csa_p3p4_a01_from_nodrop_e80,80,66,0.77223,0.49075,80,0.74953,0.47638
rgb_guided_rdt_yolo11m_1280_ft2_reproduce_v2_autoopt,70,57,0.77182,0.49059,70,0.7634,0.48412
eca_a0_from_lockedbest_e80,80,66,0.76537,0.48868,80,0.75548,0.46757
rgb_guided_rdt_yolo11m_1280_ft3_low_lr_e40,19,9,0.7634,0.48837,19,0.75877,0.4732
rgb_guided_rdt_yolo11m_1536_ft_from_1280best_e40,18,8,0.76615,0.48736,18,0.7589,0.48389
eca_a01_from_nodrop_e80,80,62,0.7668,0.48577,80,0.75565,0.47485
csa_p3p4_a0_from_lockedbest_e80,26,1,0.75496,0.48538,26,0.74107,0.46071
gate5_from_lockedbest_yolo11m_1408_e60,25,5,0.76887,0.4852,25,0.74598,0.46807
gate5_from_lockedbest_yolo11m_1280_e80,35,10,0.75564,0.4847,35,0.74216,0.47257
rgb_guided_rdt_yolo11m_1280_ft2_oldmatch_e70,70,63,0.76866,0.48361,70,0.76372,0.48347
csa_p3p4_a0_from_nodrop_e80,60,35,0.76715,0.48167,60,0.77357,0.47438
p2_head_from_lockedbest_e90,90,77,0.75178,0.47799,90,0.74377,0.47245
eca_a01_from_lockedbest_e80,26,1,0.75409,0.47762,26,0.74709,0.46091
eca_k5_a0_from_nodrop_e80,26,1,0.75131,0.46752,26,0.74287,0.44786
rgb_guided_rdt_yolo11m_1280_from_nodrop_ft3_mild_e70,43,23,0.74225,0.45847,43,0.7471,0.45599
nodrop_to_ft2_autoopt_box9_e70,26,1,0.75557,0.45643,26,0.74646,0.4491
rgb_guided_rdt_yolo11m_1280_seed3407_e100_mosaic05_cos,100,91,0.7256,0.44524,100,0.72352,0.44065
rgb_guided_rdt_yolo11l_1280_retest_e100,100,82,0.71046,0.42801,100,0.69891,0.41787
rgb_guided_rdt_yolo11m_1280_seed42_e100_mosaic05_cos,100,93,0.66389,0.40833,100,0.66126,0.40151
rgb_guided_rdt_yolo11x_1280_retest_e80,80,69,0.62042,0.37959,80,0.61322,0.37112
rgb_guided_rdt_yolo11m_1280_ft2_reproduce,70,69,0.5936,0.35208,70,0.596,0.35048
rtdetr_l_rgb_guided_rdt_960_e80,80,68,0.57483,0.35044,80,0.57797,0.34931
rgb_guided_rdt_yolo11x_1280_e80_b1_lr8e4_gpu0,80,66,0.57755,0.33696,80,0.537,0.32153
rgb_guided_rdt_yolo11l_1536_e90_auto_gpu0,90,88,0.56643,0.33458,90,0.56365,0.33056
rgb_guided_rdt_yolo11x_1280_e100_auto_gpu1,100,81,0.55919,0.32233,100,0.55419,0.31976
rgb_guided_rdt_yolo11x_1536_e70_b1_gpu1,70,53,0.54176,0.30724,70,0.52206,0.30426
rtdetr_l_rgb_guided_rdt_1280_e60,57,37,0.0269,0.01465,57,0.02455,0.01269
gate_smoke_amp,1,1,0.0,0.0,1,0.0,0.0
